,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,67.3076923,4.1300973,129.0,state,fb-survey
1,al,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,64.3990499,2.0143931,565.0054,state,fb-survey
2,ar,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,61.5654439,2.354049,427.0,state,fb-survey
3,az,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,67.8511305,1.7454679,715.977,state,fb-survey
4,ca,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,76.0087454,0.7098353,3619.1058,state,fb-survey
5,co,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,76.1142107,1.5923675,716.9993,state,fb-survey
6,ct,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,78.3950617,1.7298668,566.0,state,fb-survey
7,de,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,77.9411765,3.1895638,169.0,state,fb-survey
8,fl,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,65.6210429,0.974827,2374.0002,state,fb-survey
9,ga,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,58.0924939,1.6786115,863.9954,state,fb-survey
10,hi,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,78.5087719,3.8641189,113.0,state,fb-survey
11,ia,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,74.0670075,1.9057277,528.8783,state,fb-survey
12,id,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,65.7206794,2.9267193,263.0099,state,fb-survey
13,il,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,71.2787541,1.1773115,1477.0003,state,fb-survey
14,in,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,69.0035321,1.5752068,862.0022,state,fb-survey
15,ks,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.0092492,2.2842769,429.9996,state,fb-survey
16,ky,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.7526502,1.9494317,583.9955,state,fb-survey
17,la,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,61.8600422,2.0082484,584.9996,state,fb-survey
18,ma,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,79.1555379,1.4881867,745.0015,state,fb-survey
19,md,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,77.7874797,1.7365071,572.9997,state,fb-survey
20,me,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,75.6802721,2.5063221,293.0,state,fb-survey
21,mi,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,70.3314331,1.1535865,1567.9986,state,fb-survey
22,mn,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,79.5048434,1.6070804,630.9132,state,fb-survey
23,mo,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.3884699,1.8167413,676.0748,state,fb-survey
24,ms,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,55.4977754,2.5727261,373.1386,state,fb-survey
25,mt,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,68.3141135,3.1955591,211.974,state,fb-survey
26,nc,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.9615253,1.305022,1299.0016,state,fb-survey
27,nd,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,55.6082608,4.7745514,108.287,state,fb-survey
28,ne,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,77.2173385,2.390411,307.8748,state,fb-survey
29,nh,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,76.0377358,2.6270997,264.0,state,fb-survey
30,nj,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,75.0536535,1.4181256,930.9994,state,fb-survey
31,nm,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,71.8212149,2.7535551,266.9239,state,fb-survey
32,nv,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,71.7320471,2.6089917,297.8943,state,fb-survey
33,ny,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,72.607522,1.0343481,1859.0004,state,fb-survey
34,oh,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.9454094,1.1712767,1612.997,state,fb-survey
35,ok,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,65.8729914,1.9929429,565.9993,state,fb-survey
36,or,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,73.4552306,1.7592527,630.0068,state,fb-survey
37,pa,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,69.3701286,1.0886006,1793.001,state,fb-survey
38,ri,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,76.4878853,3.2816018,166.9985,state,fb-survey
39,sc,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,65.1875169,1.6852964,799.0001,state,fb-survey
40,sd,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.8972304,3.7798807,154.9945,state,fb-survey
41,tn,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,63.4632899,1.5875626,920.0052,state,fb-survey
42,tx,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,67.6229415,0.9246136,2561.0076,state,fb-survey
43,ut,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,76.64607,2.1284904,395.0995,state,fb-survey
44,va,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,69.6943795,1.41488,1055.0711,state,fb-survey
45,vt,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,74.409469,3.8874812,126.0001,state,fb-survey
46,wa,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,76.7892895,1.3704505,948.9916,state,fb-survey
47,wi,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,70.4483785,1.6829927,735.0009,state,fb-survey
48,wv,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,66.8181913,2.5959635,329.0013,state,fb-survey
49,wy,smoothed_accept_covid_vaccine,2020-12-20,2020-12-21,1,52.3185241,4.8287808,106.9868,state,fb-survey
0,ak,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,69.7826087,3.0344804,229.0,state,fb-survey
1,al,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,64.9289819,1.4252338,1121.0236,state,fb-survey
2,ar,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,62.9612335,1.6936405,812.9939,state,fb-survey
3,az,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,70.2032717,1.1820243,1497.1769,state,fb-survey
4,ca,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,76.8798863,0.4975143,7181.1087,state,fb-survey
5,co,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,75.653121,1.1565603,1376.9988,state,fb-survey
6,ct,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,79.134533,1.1900023,1166.0,state,fb-survey
7,de,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,76.5671642,2.3177174,334.0,state,fb-survey
8,fl,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,66.784712,0.6900933,4658.0001,state,fb-survey
9,ga,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,58.6175024,1.2052169,1669.9888,state,fb-survey
10,hi,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,72.5609756,2.8507087,245.0,state,fb-survey
11,ia,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,71.5775139,1.416632,1013.7353,state,fb-survey
12,id,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,66.1859469,2.0785387,518.0203,state,fb-survey
13,il,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,72.5253624,0.8349872,2858.0004,state,fb-survey
14,in,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,68.12146,1.1207095,1729.0052,state,fb-survey
15,ks,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,67.0083336,1.6310172,831.0286,state,fb-survey
16,ky,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,66.5192332,1.3794584,1170.3761,state,fb-survey
17,la,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,60.6046737,1.468594,1106.9992,state,fb-survey
18,ma,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,79.279585,1.042326,1512.003,state,fb-survey
19,md,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,76.6986162,1.2482543,1146.9992,state,fb-survey
20,me,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,73.3277592,1.8099926,597.0,state,fb-survey
21,mi,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,69.7201413,0.828983,3071.9975,state,fb-survey
22,mn,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,78.8899974,1.1688314,1219.0079,state,fb-survey
23,mo,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,68.1048469,1.2460007,1399.156,state,fb-survey
24,ms,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,57.9320735,1.8183364,737.092,state,fb-survey
25,mt,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,69.00044,2.3133327,399.6973,state,fb-survey
26,nc,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,66.5816092,0.9346631,2547.0039,state,fb-survey
27,nd,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,60.0233897,3.4761722,198.5747,state,fb-survey
28,ne,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,74.9383779,1.801352,578.7837,state,fb-survey
29,nh,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,76.8537074,1.8899854,498.0,state,fb-survey
30,nj,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,75.2753668,1.0390175,1723.9991,state,fb-survey
31,nm,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,71.0679387,1.9834848,522.6312,state,fb-survey
32,nv,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,69.8093219,1.8950221,586.8914,state,fb-survey
33,ny,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,71.6301342,0.7462589,3649.0007,state,fb-survey
34,oh,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,66.0110871,0.8337016,3227.9953,state,fb-survey
35,ok,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,64.9253673,1.4145979,1137.9981,state,fb-survey
36,or,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,73.6395904,1.2562531,1230.0116,state,fb-survey
37,pa,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,70.2353893,0.7701023,3525.0021,state,fb-survey
38,ri,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,76.3664923,2.4128858,309.997,state,fb-survey
39,sc,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,65.3251709,1.2080963,1552.0003,state,fb-survey
40,sd,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,69.5568133,2.7162418,287.0073,state,fb-survey
41,tn,smoothed_accept_covid_vaccine,2020-12-21,2020-12-22,1,62.7252934,1.1243112,1849.6257,state,fb-survey
