,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_large_event_1d,2020-12-20,2020-12-21,1,7.4887387,0.8837712,887.0,state,fb-survey
1,al,smoothed_large_event_1d,2020-12-20,2020-12-21,1,11.812973,0.4835085,4456.1083,state,fb-survey
2,ar,smoothed_large_event_1d,2020-12-20,2020-12-21,1,10.0810652,0.534196,3176.5541,state,fb-survey
3,az,smoothed_large_event_1d,2020-12-20,2020-12-21,1,8.7075659,0.363657,6011.0131,state,fb-survey
4,ca,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.2492014,0.1201009,28207.0275,state,fb-survey
5,co,smoothed_large_event_1d,2020-12-20,2020-12-21,1,5.9033033,0.3059098,5935.8456,state,fb-survey
6,ct,smoothed_large_event_1d,2020-12-20,2020-12-21,1,3.7147926,0.2816794,4508.0,state,fb-survey
7,dc,smoothed_large_event_1d,2020-12-20,2020-12-21,1,3.436019,0.8877574,421.0,state,fb-survey
8,de,smoothed_large_event_1d,2020-12-20,2020-12-21,1,6.3510036,0.6769151,1298.0073,state,fb-survey
9,fl,smoothed_large_event_1d,2020-12-20,2020-12-21,1,12.2612576,0.2426443,18272.0,state,fb-survey
10,ga,smoothed_large_event_1d,2020-12-20,2020-12-21,1,12.7038833,0.4151722,6433.9072,state,fb-survey
11,hi,smoothed_large_event_1d,2020-12-20,2020-12-21,1,6.8003914,0.7878819,1021.0,state,fb-survey
12,ia,smoothed_large_event_1d,2020-12-20,2020-12-21,1,8.9935021,0.4416906,4195.3186,state,fb-survey
13,id,smoothed_large_event_1d,2020-12-20,2020-12-21,1,11.0714596,0.6651289,2225.5348,state,fb-survey
14,il,smoothed_large_event_1d,2020-12-20,2020-12-21,1,6.0586907,0.2178749,11990.0479,state,fb-survey
15,in,smoothed_large_event_1d,2020-12-20,2020-12-21,1,9.0851335,0.3412462,7093.0091,state,fb-survey
16,ks,smoothed_large_event_1d,2020-12-20,2020-12-21,1,9.1027168,0.4840803,3530.9137,state,fb-survey
17,ky,smoothed_large_event_1d,2020-12-20,2020-12-21,1,7.596409,0.3919353,4569.4977,state,fb-survey
18,la,smoothed_large_event_1d,2020-12-20,2020-12-21,1,13.7259627,0.5259707,4280.5525,state,fb-survey
19,ma,smoothed_large_event_1d,2020-12-20,2020-12-21,1,3.3032133,0.2378711,5645.0175,state,fb-survey
20,md,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.6215807,0.3096589,4596.9896,state,fb-survey
21,me,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.7998278,0.4436092,2322.0,state,fb-survey
22,mi,smoothed_large_event_1d,2020-12-20,2020-12-21,1,5.3807484,0.2013897,12553.0102,state,fb-survey
23,mn,smoothed_large_event_1d,2020-12-20,2020-12-21,1,5.4013201,0.3196418,5001.0124,state,fb-survey
24,mo,smoothed_large_event_1d,2020-12-20,2020-12-21,1,10.5092418,0.4017076,5828.1341,state,fb-survey
25,ms,smoothed_large_event_1d,2020-12-20,2020-12-21,1,12.0124174,0.6038328,2898.801,state,fb-survey
26,mt,smoothed_large_event_1d,2020-12-20,2020-12-21,1,10.1325715,0.7567696,1589.991,state,fb-survey
27,nc,smoothed_large_event_1d,2020-12-20,2020-12-21,1,8.0696728,0.2639261,10650.013,state,fb-survey
28,nd,smoothed_large_event_1d,2020-12-20,2020-12-21,1,14.1986733,1.1996816,846.4665,state,fb-survey
29,ne,smoothed_large_event_1d,2020-12-20,2020-12-21,1,8.9816832,0.6053684,2230.7298,state,fb-survey
30,nh,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.8512921,0.4745186,2050.0,state,fb-survey
31,nj,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.0724989,0.2434409,6591.9962,state,fb-survey
32,nm,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.6174094,0.4009777,2739.2205,state,fb-survey
33,nv,smoothed_large_event_1d,2020-12-20,2020-12-21,1,6.8303376,0.5307307,2259.2704,state,fb-survey
34,ny,smoothed_large_event_1d,2020-12-20,2020-12-21,1,4.2427459,0.1685902,14294.0018,state,fb-survey
35,oh,smoothed_large_event_1d,2020-12-20,2020-12-21,1,7.4447504,0.2315927,12846.9942,state,fb-survey
36,ok,smoothed_large_event_1d,2020-12-20,2020-12-21,1,12.5270469,0.4897172,4569.1114,state,fb-survey
37,or,smoothed_large_event_1d,2020-12-20,2020-12-21,1,5.2589742,0.322168,4800.366,state,fb-survey
38,pa,smoothed_large_event_1d,2020-12-20,2020-12-21,1,5.7346498,0.1967967,13958.0094,state,fb-survey
39,ri,smoothed_large_event_1d,2020-12-20,2020-12-21,1,3.0031611,0.4768662,1280.9825,state,fb-survey
40,sc,smoothed_large_event_1d,2020-12-20,2020-12-21,1,11.6962458,0.4100698,6142.0053,state,fb-survey
41,sd,smoothed_large_event_1d,2020-12-20,2020-12-21,1,13.6996835,1.0315127,1111.1527,state,fb-survey
42,tn,smoothed_large_event_1d,2020-12-20,2020-12-21,1,9.2728214,0.3438768,7114.4859,state,fb-survey
43,tx,smoothed_large_event_1d,2020-12-20,2020-12-21,1,10.7896726,0.2164195,20550.8803,state,fb-survey
44,ut,smoothed_large_event_1d,2020-12-20,2020-12-21,1,11.3606909,0.5705898,3093.0231,state,fb-survey
