,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.0968468,0.5816571,887.0,state,fb-survey
1,al,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.35749,0.1733495,4456.1083,state,fb-survey
2,ar,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.6207466,0.2240429,3176.5541,state,fb-survey
3,az,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.6862882,0.2085401,6011.0131,state,fb-survey
4,ca,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.0044639,0.1016438,28207.0275,state,fb-survey
5,co,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.8213619,0.2149184,5935.8456,state,fb-survey
6,ct,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.4062985,0.228241,4508.0,state,fb-survey
7,dc,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,8.8862559,1.3867887,421.0,state,fb-survey
8,de,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.0400193,0.3923764,1298.0073,state,fb-survey
9,fl,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.8375187,0.122836,18272.0,state,fb-survey
10,ga,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.1677904,0.1815567,6433.9072,state,fb-survey
11,hi,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,4.0606654,0.6177092,1021.0,state,fb-survey
12,ia,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.8230241,0.2065468,4195.3186,state,fb-survey
13,id,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.9087912,0.2900528,2225.5348,state,fb-survey
14,il,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.1398423,0.1592634,11990.0479,state,fb-survey
15,in,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.8113834,0.1583509,7093.0091,state,fb-survey
16,ks,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.5713861,0.2092949,3530.9137,state,fb-survey
17,ky,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.8706934,0.2004317,4569.4977,state,fb-survey
18,la,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.6275469,0.24448,4280.5525,state,fb-survey
19,ma,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.5865989,0.2475013,5645.0175,state,fb-survey
20,md,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.6207062,0.2356165,4596.9896,state,fb-survey
21,me,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.786483,0.2748869,2322.0,state,fb-survey
22,mi,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.7404781,0.1167206,12553.0102,state,fb-survey
23,mn,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.7488956,0.2312051,5001.0124,state,fb-survey
24,mo,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.0157368,0.18409,5828.1341,state,fb-survey
25,ms,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.0518615,0.2633073,2898.801,state,fb-survey
26,mt,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.9799295,0.3493695,1589.991,state,fb-survey
27,nc,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.6289559,0.1226629,10650.013,state,fb-survey
28,nd,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.5989623,0.6402132,846.4665,state,fb-survey
29,ne,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.8595441,0.2860249,2230.7298,state,fb-survey
30,nh,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.5845929,0.2758122,2050.0,state,fb-survey
31,nj,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.9208274,0.2390534,6591.9962,state,fb-survey
32,nm,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.5873832,0.2388102,2739.2205,state,fb-survey
33,nv,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.6057633,0.3922293,2259.2704,state,fb-survey
34,ny,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,7.7054933,0.2230546,14294.0018,state,fb-survey
35,oh,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.8407566,0.1185941,12846.9942,state,fb-survey
36,ok,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.0896668,0.2116104,4569.1114,state,fb-survey
37,or,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.9679283,0.2449329,4800.366,state,fb-survey
38,pa,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.5539069,0.1335282,13958.0094,state,fb-survey
39,ri,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.6131402,0.4457178,1280.9825,state,fb-survey
40,sc,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.9778593,0.1776662,6142.0053,state,fb-survey
41,sd,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.4836002,0.3626819,1111.1527,state,fb-survey
42,tn,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.3280864,0.1357182,7114.4859,state,fb-survey
43,tx,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.4693731,0.1082552,20550.8803,state,fb-survey
44,ut,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.6017905,0.2862332,3093.0231,state,fb-survey
45,va,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.919239,0.1495045,8421.7864,state,fb-survey
46,vt,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.7875365,0.4236831,978.001,state,fb-survey
47,wa,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.5823183,0.1827675,7530.9492,state,fb-survey
48,wi,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,2.3620224,0.1915422,6285.9896,state,fb-survey
49,wv,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,1.7973416,0.2558002,2697.4409,state,fb-survey
50,wy,smoothed_public_transit_1d,2020-12-20,2020-12-21,1,3.3046843,0.6316621,800.8769,state,fb-survey
0,ak,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.748538,0.5594612,854.0,state,fb-survey
1,al,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.4598415,0.1848031,4212.115,state,fb-survey
2,ar,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.5850983,0.228198,2995.6659,state,fb-survey
3,az,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.7167023,0.2155932,5686.042,state,fb-survey
4,ca,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,3.0470935,0.1047454,26926.2995,state,fb-survey
5,co,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.7187211,0.2193302,5497.9053,state,fb-survey
6,ct,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.1907216,0.2240899,4267.0,state,fb-survey
7,dc,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,8.2278481,1.3843646,394.0,state,fb-survey
8,de,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.9886246,0.3979095,1231.0073,state,fb-survey
9,fl,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.8353471,0.1259418,17369.0005,state,fb-survey
10,ga,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.2010594,0.1870131,6154.9128,state,fb-survey
11,hi,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,3.9598733,0.634047,946.0,state,fb-survey
12,ia,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.0368323,0.2247212,3951.2105,state,fb-survey
13,id,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.0507197,0.3113994,2071.4383,state,fb-survey
14,il,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,3.1709589,0.1659656,11147.0474,state,fb-survey
15,in,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.8084882,0.1632646,6662.0129,state,fb-survey
16,ks,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.4163875,0.2062643,3281.9999,state,fb-survey
17,ky,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.7863308,0.2011162,4337.5022,state,fb-survey
18,la,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.4861619,0.2449253,4041.3675,state,fb-survey
19,ma,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,3.4651533,0.2486589,5410.016,state,fb-survey
20,md,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.5425716,0.2388085,4344.9897,state,fb-survey
21,me,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.9144144,0.2908988,2219.0,state,fb-survey
22,mi,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.8403564,0.1239248,11763.0097,state,fb-survey
23,mn,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.744964,0.237905,4716.7376,state,fb-survey
24,mo,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.9973413,0.1889748,5481.2828,state,fb-survey
25,ms,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.9609485,0.2655026,2727.2665,state,fb-survey
26,mt,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.8346124,0.3467354,1497.9815,state,fb-survey
27,nc,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.6557287,0.1272559,10055.0135,state,fb-survey
28,nd,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,4.0315566,0.7041402,780.3384,state,fb-survey
29,ne,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.9160909,0.2982567,2112.6784,state,fb-survey
30,nh,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.4898066,0.2770522,1912.0,state,fb-survey
31,nj,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,3.8708147,0.2442341,6237.9966,state,fb-survey
32,nm,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.6025895,0.2562634,2401.2246,state,fb-survey
33,nv,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,3.6696357,0.4040371,2165.4276,state,fb-survey
34,ny,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,7.7281758,0.2288318,13618.0018,state,fb-survey
35,oh,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.8825216,0.1233638,12136.9906,state,fb-survey
36,ok,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.0542921,0.2161393,4307.0533,state,fb-survey
37,or,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.9982521,0.2518559,4585.042,state,fb-survey
38,pa,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.5165605,0.1366795,13132.0083,state,fb-survey
39,ri,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,2.497917,0.4543159,1179.984,state,fb-survey
40,sc,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.8972233,0.1779749,5876.0045,state,fb-survey
41,sd,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.6358813,0.3996179,1007.6245,state,fb-survey
42,tn,smoothed_public_transit_1d,2020-12-21,2020-12-22,1,1.3235837,0.1382185,6836.482,state,fb-survey
