,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,9.9662162,1.0057872,887.0,state,fb-survey
1,al,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,19.172074,0.5897085,4456.1083,state,fb-survey
2,ar,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,15.4620499,0.6414773,3176.5541,state,fb-survey
3,az,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,15.4274448,0.4658948,6011.0131,state,fb-survey
4,ca,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,6.2556136,0.1441879,28207.0275,state,fb-survey
5,co,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,9.0868103,0.3730593,5935.8456,state,fb-survey
6,ct,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,9.5919273,0.4385959,4508.0,state,fb-survey
7,dc,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,10.5450237,1.4968731,421.0,state,fb-survey
8,de,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,12.6635162,0.9230738,1298.0073,state,fb-survey
9,fl,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,22.4237958,0.3085502,18272.0,state,fb-survey
10,ga,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,19.2462838,0.491493,6433.9072,state,fb-survey
11,hi,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,18.1506849,1.2062607,1021.0,state,fb-survey
12,ia,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,16.4741519,0.5727031,4195.3186,state,fb-survey
13,id,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,17.3592526,0.8028704,2225.5348,state,fb-survey
14,il,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,9.4197147,0.2667628,11990.0479,state,fb-survey
15,in,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,17.1060296,0.4471166,7093.0091,state,fb-survey
16,ks,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,17.1436918,0.634266,3530.9137,state,fb-survey
17,ky,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,13.4669819,0.5050005,4569.4977,state,fb-survey
18,la,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,19.237989,0.6024673,4280.5525,state,fb-survey
19,ma,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,9.8565316,0.3967314,5645.0175,state,fb-survey
20,md,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,10.0369866,0.4431971,4596.9896,state,fb-survey
21,me,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,8.8032716,0.5880044,2322.0,state,fb-survey
22,mi,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,5.1099154,0.1965366,12553.0102,state,fb-survey
23,mn,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,5.30721,0.3170025,5001.0124,state,fb-survey
24,mo,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,15.8954827,0.4789407,5828.1341,state,fb-survey
25,ms,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,17.5921382,0.7071873,2898.801,state,fb-survey
26,mt,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,20.8795524,1.0193132,1589.991,state,fb-survey
27,nc,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,15.9280859,0.3545947,10650.013,state,fb-survey
28,nd,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,24.5993794,1.4802826,846.4665,state,fb-survey
29,ne,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,16.3745226,0.783484,2230.7298,state,fb-survey
30,nh,smoothed_restaurant_1d,2020-12-20,2020-12-21,1,11.8235007,0.7131363,2050.0,state,fb-survey
