,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.5878378,1.6641997,887.0,state,fb-survey
1,al,smoothed_shop_1d,2020-12-20,2020-12-21,1,62.0258565,0.7270303,4456.1083,state,fb-survey
2,ar,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.4138549,0.8773328,3176.5541,state,fb-survey
3,az,smoothed_shop_1d,2020-12-20,2020-12-21,1,59.9586984,0.6319844,6011.0131,state,fb-survey
4,ca,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.2275896,0.2945818,28207.0275,state,fb-survey
5,co,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.8653587,0.6408962,5935.8456,state,fb-survey
6,ct,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.6090042,0.7381602,4508.0,state,fb-survey
7,dc,smoothed_shop_1d,2020-12-20,2020-12-21,1,47.7488152,2.4343797,421.0,state,fb-survey
8,de,smoothed_shop_1d,2020-12-20,2020-12-21,1,59.3915061,1.3631136,1298.0073,state,fb-survey
9,fl,smoothed_shop_1d,2020-12-20,2020-12-21,1,63.9221825,0.3552654,18272.0,state,fb-survey
10,ga,smoothed_shop_1d,2020-12-20,2020-12-21,1,62.2766836,0.6042689,6433.9072,state,fb-survey
11,hi,smoothed_shop_1d,2020-12-20,2020-12-21,1,65.704501,1.4856047,1021.0,state,fb-survey
12,ia,smoothed_shop_1d,2020-12-20,2020-12-21,1,58.2480177,0.7613716,4195.3186,state,fb-survey
13,id,smoothed_shop_1d,2020-12-20,2020-12-21,1,61.9302874,1.0292578,2225.5348,state,fb-survey
14,il,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.0635999,0.4520453,11990.0479,state,fb-survey
15,in,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.6746581,0.5883696,7093.0091,state,fb-survey
16,ks,smoothed_shop_1d,2020-12-20,2020-12-21,1,59.4145831,0.8263956,3530.9137,state,fb-survey
17,ky,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.6863894,0.730874,4569.4977,state,fb-survey
18,la,smoothed_shop_1d,2020-12-20,2020-12-21,1,64.9223337,0.7293945,4280.5525,state,fb-survey
19,ma,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.863258,0.6591844,5645.0175,state,fb-survey
20,md,smoothed_shop_1d,2020-12-20,2020-12-21,1,53.4472392,0.7356963,4596.9896,state,fb-survey
21,me,smoothed_shop_1d,2020-12-20,2020-12-21,1,61.3646147,1.0104632,2322.0,state,fb-survey
22,mi,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.8501482,0.4407338,12553.0102,state,fb-survey
23,mn,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.1014623,0.7017512,5001.0124,state,fb-survey
24,mo,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.1881491,0.6481421,5828.1341,state,fb-survey
25,ms,smoothed_shop_1d,2020-12-20,2020-12-21,1,62.7301322,0.8980651,2898.801,state,fb-survey
26,mt,smoothed_shop_1d,2020-12-20,2020-12-21,1,62.1507601,1.2163385,1589.991,state,fb-survey
27,nc,smoothed_shop_1d,2020-12-20,2020-12-21,1,60.3182871,0.4740724,10650.013,state,fb-survey
28,nd,smoothed_shop_1d,2020-12-20,2020-12-21,1,64.5917685,1.6437502,846.4665,state,fb-survey
29,ne,smoothed_shop_1d,2020-12-20,2020-12-21,1,58.1730414,1.0443968,2230.7298,state,fb-survey
30,nh,smoothed_shop_1d,2020-12-20,2020-12-21,1,58.72745,1.0873624,2050.0,state,fb-survey
31,nj,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.9922595,0.6097794,6591.9962,state,fb-survey
32,nm,smoothed_shop_1d,2020-12-20,2020-12-21,1,54.0349946,0.9522209,2739.2205,state,fb-survey
33,nv,smoothed_shop_1d,2020-12-20,2020-12-21,1,58.0883066,1.0380729,2259.2704,state,fb-survey
34,ny,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.6250442,0.4133171,14294.0018,state,fb-survey
35,oh,smoothed_shop_1d,2020-12-20,2020-12-21,1,58.1296713,0.4352626,12846.9942,state,fb-survey
36,ok,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.0348263,0.7323395,4569.1114,state,fb-survey
37,or,smoothed_shop_1d,2020-12-20,2020-12-21,1,59.3482396,0.708935,4800.366,state,fb-survey
38,pa,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.0205591,0.4190196,13958.0094,state,fb-survey
39,ri,smoothed_shop_1d,2020-12-20,2020-12-21,1,61.193542,1.3615488,1280.9825,state,fb-survey
40,sc,smoothed_shop_1d,2020-12-20,2020-12-21,1,63.608983,0.6139051,6142.0053,state,fb-survey
41,sd,smoothed_shop_1d,2020-12-20,2020-12-21,1,61.0453133,1.4629152,1111.1527,state,fb-survey
42,tn,smoothed_shop_1d,2020-12-20,2020-12-21,1,60.676618,0.5791144,7114.4859,state,fb-survey
43,tx,smoothed_shop_1d,2020-12-20,2020-12-21,1,59.4902896,0.3424423,20550.8803,state,fb-survey
44,ut,smoothed_shop_1d,2020-12-20,2020-12-21,1,60.5463676,0.878812,3093.0231,state,fb-survey
45,va,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.524656,0.5386335,8421.7864,state,fb-survey
46,vt,smoothed_shop_1d,2020-12-20,2020-12-21,1,58.7844446,1.5739544,978.001,state,fb-survey
47,wa,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.3263,0.5715323,7530.9492,state,fb-survey
48,wi,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.8255529,0.6228705,6285.9896,state,fb-survey
49,wv,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.4994068,0.9545388,2697.4409,state,fb-survey
50,wy,smoothed_shop_1d,2020-12-20,2020-12-21,1,62.7746478,1.7081605,800.8769,state,fb-survey
0,ak,smoothed_shop_1d,2020-12-21,2020-12-22,1,54.7953216,1.7030778,854.0,state,fb-survey
1,al,smoothed_shop_1d,2020-12-21,2020-12-22,1,61.5354554,0.749623,4212.115,state,fb-survey
2,ar,smoothed_shop_1d,2020-12-21,2020-12-22,1,57.7491138,0.9024931,2995.6659,state,fb-survey
3,az,smoothed_shop_1d,2020-12-21,2020-12-22,1,59.2050665,0.6517447,5686.042,state,fb-survey
