,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,4.3608124,0.7063151,836.0,state,fb-survey
1,al,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.9742343,0.4430743,4161.1044,state,fb-survey
2,ar,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,7.9374187,0.495311,2978.5606,state,fb-survey
3,az,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,4.3836102,0.2713399,5692.9438,state,fb-survey
4,ca,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,2.6151774,0.0978563,26595.9146,state,fb-survey
5,co,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,4.3213214,0.2709027,5633.8459,state,fb-survey
6,ct,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,7.0976068,0.3933812,4261.0,state,fb-survey
7,dc,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,16.3341646,1.8483855,400.0,state,fb-survey
8,de,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,17.9413092,1.0949364,1228.0073,state,fb-survey
9,fl,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,4.2858813,0.1546142,17160.0001,state,fb-survey
10,ga,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,7.8051591,0.3455388,6026.9117,state,fb-survey
11,hi,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,2.4504692,0.4995218,958.0,state,fb-survey
12,ia,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.6064014,0.4459998,3954.2861,state,fb-survey
13,id,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,7.8853001,0.5866477,2110.5341,state,fb-survey
14,il,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.1242486,0.2572389,11280.047,state,fb-survey
15,in,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.1180891,0.3347359,6657.009,state,fb-survey
16,ks,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.0284071,0.4734623,3293.9139,state,fb-survey
17,ky,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,12.0504004,0.4982876,4268.4988,state,fb-survey
18,la,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,7.0375421,0.4059185,3970.5528,state,fb-survey
19,ma,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.2040065,0.3753971,5344.0165,state,fb-survey
20,md,smoothed_travel_outside_state_5d,2020-12-20,2020-12-25,5,8.7737496,0.427969,4369.9898,state,fb-survey
