,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wearing_mask,2020-12-20,2020-12-25,5,87.2828784,1.1742512,805.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-12-20,2020-12-25,5,89.5666837,0.4809966,4039.1018,state,fb-survey
2,ar,smoothed_wearing_mask,2020-12-20,2020-12-25,5,90.6201603,0.5443568,2868.4872,state,fb-survey
3,az,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.2713409,0.3376354,5505.2977,state,fb-survey
4,ca,smoothed_wearing_mask,2020-12-20,2020-12-25,5,95.6944823,0.1263343,25814.8455,state,fb-survey
5,co,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.7930763,0.3258224,5483.8459,state,fb-survey
6,ct,smoothed_wearing_mask,2020-12-20,2020-12-25,5,96.9028682,0.2689854,4148.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-12-20,2020-12-25,5,97.6130653,0.7660886,397.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-12-20,2020-12-25,5,95.244032,0.6123554,1208.0073,state,fb-survey
9,fl,smoothed_wearing_mask,2020-12-20,2020-12-25,5,89.8047025,0.2331385,16844.9999,state,fb-survey
10,ga,smoothed_wearing_mask,2020-12-20,2020-12-25,5,86.9268106,0.4385817,5907.9146,state,fb-survey
11,hi,smoothed_wearing_mask,2020-12-20,2020-12-25,5,94.9636552,0.7050971,962.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-12-20,2020-12-25,5,89.8112515,0.487499,3850.3847,state,fb-survey
13,id,smoothed_wearing_mask,2020-12-20,2020-12-25,5,83.8870649,0.8156856,2031.5341,state,fb-survey
14,il,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.9874215,0.2271629,10951.0467,state,fb-survey
15,in,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.1390999,0.3349731,6455.0037,state,fb-survey
16,ks,smoothed_wearing_mask,2020-12-20,2020-12-25,5,90.1047772,0.5271999,3207.9141,state,fb-survey
17,ky,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.5003341,0.4087308,4152.509,state,fb-survey
18,la,smoothed_wearing_mask,2020-12-20,2020-12-25,5,87.3514385,0.5320171,3903.5531,state,fb-survey
19,ma,smoothed_wearing_mask,2020-12-20,2020-12-25,5,96.7695368,0.2455662,5184.015,state,fb-survey
20,md,smoothed_wearing_mask,2020-12-20,2020-12-25,5,97.0588189,0.2597204,4231.9899,state,fb-survey
21,me,smoothed_wearing_mask,2020-12-20,2020-12-25,5,94.9093445,0.4740478,2150.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.9479761,0.222441,11491.0102,state,fb-survey
23,mn,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.8155168,0.3539413,4631.4356,state,fb-survey
24,mo,smoothed_wearing_mask,2020-12-20,2020-12-25,5,88.3998348,0.4399848,5297.1254,state,fb-survey
25,ms,smoothed_wearing_mask,2020-12-20,2020-12-25,5,88.3058698,0.6243995,2648.6977,state,fb-survey
26,mt,smoothed_wearing_mask,2020-12-20,2020-12-25,5,88.5420481,0.8340912,1458.2416,state,fb-survey
27,nc,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.3956422,0.2684445,9750.0114,state,fb-survey
28,nd,smoothed_wearing_mask,2020-12-20,2020-12-25,5,86.2209446,1.234975,778.9613,state,fb-survey
29,ne,smoothed_wearing_mask,2020-12-20,2020-12-25,5,89.5943434,0.6745794,2048.7265,state,fb-survey
30,nh,smoothed_wearing_mask,2020-12-20,2020-12-25,5,95.0789474,0.4963736,1899.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-12-20,2020-12-25,5,96.3100541,0.242244,6055.9966,state,fb-survey
32,nm,smoothed_wearing_mask,2020-12-20,2020-12-25,5,95.8926829,0.3972419,2495.9365,state,fb-survey
33,nv,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.636718,0.5371011,2065.4525,state,fb-survey
34,ny,smoothed_wearing_mask,2020-12-20,2020-12-25,5,96.4487749,0.1618267,13079.0017,state,fb-survey
35,oh,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.6975818,0.2248037,11684.9986,state,fb-survey
36,ok,smoothed_wearing_mask,2020-12-20,2020-12-25,5,87.1006415,0.521761,4127.1115,state,fb-survey
37,or,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.9169407,0.3591389,4429.3612,state,fb-survey
38,pa,smoothed_wearing_mask,2020-12-20,2020-12-25,5,93.63035,0.2167709,12692.0083,state,fb-survey
39,ri,smoothed_wearing_mask,2020-12-20,2020-12-25,5,96.7948307,0.5151659,1168.985,state,fb-survey
40,sc,smoothed_wearing_mask,2020-12-20,2020-12-25,5,90.2619263,0.3957933,5611.0052,state,fb-survey
41,sd,smoothed_wearing_mask,2020-12-20,2020-12-25,5,83.9002037,1.1485305,1023.9962,state,fb-survey
42,tn,smoothed_wearing_mask,2020-12-20,2020-12-25,5,88.6244691,0.3959815,6429.4744,state,fb-survey
43,tx,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.1950376,0.196712,18595.8789,state,fb-survey
44,ut,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.5981542,0.4864018,2897.0231,state,fb-survey
45,va,smoothed_wearing_mask,2020-12-20,2020-12-25,5,94.0871182,0.2692324,7674.9373,state,fb-survey
46,vt,smoothed_wearing_mask,2020-12-20,2020-12-25,5,96.0021941,0.6487148,912.0008,state,fb-survey
47,wa,smoothed_wearing_mask,2020-12-20,2020-12-25,5,95.4272237,0.249927,6985.9545,state,fb-survey
48,wi,smoothed_wearing_mask,2020-12-20,2020-12-25,5,90.8219364,0.3794303,5789.9895,state,fb-survey
49,wv,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.5025205,0.5338871,2433.1567,state,fb-survey
50,wy,smoothed_wearing_mask,2020-12-20,2020-12-25,5,78.9990503,1.5076665,729.8779,state,fb-survey
0,ak,smoothed_wearing_mask,2020-12-21,2020-12-26,5,87.9820051,1.1665475,777.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-12-21,2020-12-26,5,89.6438148,0.493101,3818.109,state,fb-survey
2,ar,smoothed_wearing_mask,2020-12-21,2020-12-26,5,90.4121871,0.5640488,2724.6654,state,fb-survey
3,az,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.3164908,0.3458789,5213.3266,state,fb-survey
4,ca,smoothed_wearing_mask,2020-12-21,2020-12-26,5,95.6905367,0.1293305,24654.1769,state,fb-survey
5,co,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.6861903,0.3403668,5105.9056,state,fb-survey
