,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,32.9391892,1.5780801,887.0,state,fb-survey
1,al,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,35.2139839,0.7155176,4456.1083,state,fb-survey
2,ar,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,36.1325367,0.8523362,3176.5541,state,fb-survey
3,az,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,28.9640853,0.5850528,6011.0131,state,fb-survey
4,ca,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,27.5826043,0.2661095,28207.0275,state,fb-survey
5,co,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,31.1013546,0.6008329,5935.8456,state,fb-survey
6,ct,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,30.9935684,0.6887928,4508.0,state,fb-survey
7,dc,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,17.1800948,1.8383961,421.0,state,fb-survey
8,de,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,28.9836708,1.2592653,1298.0073,state,fb-survey
9,fl,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,31.0321234,0.3422442,18272.0,state,fb-survey
10,ga,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,35.7810366,0.5976139,6433.9072,state,fb-survey
11,hi,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,33.6105675,1.4783407,1021.0,state,fb-survey
12,ia,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,37.3753294,0.7469349,4195.3186,state,fb-survey
13,id,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,34.4833775,1.0075427,2225.5348,state,fb-survey
14,il,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,32.6956087,0.4284064,11990.0479,state,fb-survey
15,in,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,37.6445133,0.5752716,7093.0091,state,fb-survey
16,ks,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,37.728252,0.8157091,3530.9137,state,fb-survey
17,ky,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,33.4795333,0.6981249,4569.4977,state,fb-survey
18,la,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,37.7869826,0.7410744,4280.5525,state,fb-survey
19,ma,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,29.3039651,0.6057983,5645.0175,state,fb-survey
20,md,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,28.4580613,0.6654972,4596.9896,state,fb-survey
21,me,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,32.6947912,0.9734923,2322.0,state,fb-survey
22,mi,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,30.9661848,0.4126681,12553.0102,state,fb-survey
23,mn,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,31.6769487,0.6578492,5001.0124,state,fb-survey
24,mo,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,37.011576,0.6324619,5828.1341,state,fb-survey
25,ms,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,38.1489454,0.9022058,2898.801,state,fb-survey
26,mt,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,35.7100072,1.201626,1589.991,state,fb-survey
27,nc,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,33.0438504,0.4557907,10650.013,state,fb-survey
28,nd,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,46.7609162,1.7149517,846.4665,state,fb-survey
29,ne,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,37.6997117,1.0261021,2230.7298,state,fb-survey
30,nh,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,32.5451,1.0348386,2050.0,state,fb-survey
31,nj,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,28.5833427,0.5564777,6591.9962,state,fb-survey
32,nm,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,27.9545204,0.857464,2739.2205,state,fb-survey
33,nv,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,30.8024341,0.971301,2259.2704,state,fb-survey
34,ny,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,29.6292429,0.3819262,14294.0018,state,fb-survey
35,oh,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,35.9783529,0.4234316,12846.9942,state,fb-survey
36,ok,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,38.4782568,0.7197905,4569.1114,state,fb-survey
37,or,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,28.3568322,0.6505476,4800.366,state,fb-survey
38,pa,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,30.4283934,0.3894429,13958.0094,state,fb-survey
39,ri,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,30.4600882,1.2859114,1280.9825,state,fb-survey
40,sc,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,34.7631427,0.6076464,6142.0053,state,fb-survey
41,sd,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,42.46612,1.4828467,1111.1527,state,fb-survey
42,tn,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,35.16022,0.5660761,7114.4859,state,fb-survey
43,tx,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,34.6708578,0.3319866,20550.8803,state,fb-survey
44,ut,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,35.4625374,0.8601997,3093.0231,state,fb-survey
45,va,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,31.5264412,0.506287,8421.7864,state,fb-survey
46,vt,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,34.6782383,1.5219059,978.001,state,fb-survey
47,wa,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,27.6486384,0.5153893,7530.9492,state,fb-survey
48,wi,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,36.4006121,0.6068676,6285.9896,state,fb-survey
49,wv,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,32.631895,0.9027601,2697.4409,state,fb-survey
50,wy,smoothed_work_outside_home_1d,2020-12-20,2020-12-22,2,45.3319705,1.7590822,800.8769,state,fb-survey
0,ak,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,31.754386,1.5929799,854.0,state,fb-survey
1,al,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,34.3101173,0.7314931,4212.115,state,fb-survey
2,ar,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,35.1829745,0.8724974,2995.6659,state,fb-survey
3,az,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,27.9894328,0.5953744,5686.042,state,fb-survey
4,ca,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,27.1861863,0.2711394,26926.2995,state,fb-survey
5,co,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,31.068722,0.6241245,5497.9053,state,fb-survey
6,ct,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,30.260075,0.7032576,4267.0,state,fb-survey
7,dc,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,17.0886076,1.8963231,394.0,state,fb-survey
8,de,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,29.0988536,1.294596,1231.0073,state,fb-survey
9,fl,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,30.9527919,0.3507806,17369.0005,state,fb-survey
10,ga,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,34.8360571,0.6073055,6154.9128,state,fb-survey
11,hi,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,34.5828933,1.5464318,946.0,state,fb-survey
12,ia,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,37.2294947,0.7690531,3951.2105,state,fb-survey
13,id,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,33.4284741,1.0364934,2071.4383,state,fb-survey
14,il,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,32.5935625,0.4439527,11147.0474,state,fb-survey
15,in,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,37.6482177,0.5936,6662.0129,state,fb-survey
16,ks,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,36.6289655,0.8409854,3281.9999,state,fb-survey
17,ky,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,33.3567078,0.715896,4337.5022,state,fb-survey
18,la,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,36.9260044,0.7591492,4041.3675,state,fb-survey
19,ma,smoothed_work_outside_home_1d,2020-12-21,2020-12-23,2,28.6546002,0.614725,5410.016,state,fb-survey
