,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
1,al,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
2,ar,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
3,az,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
4,ca,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
5,co,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
6,ct,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
7,dc,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
8,de,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
9,fl,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
10,ga,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
11,hi,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
12,ia,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
13,id,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
14,il,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
15,in,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
16,ks,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
17,ky,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
18,la,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
19,ma,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
20,md,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
21,me,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
22,mi,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
23,mn,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
24,mo,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
25,ms,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
26,mt,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
27,nc,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
28,nd,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
29,ne,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
30,nh,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
31,nj,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
32,nm,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
33,nv,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
34,ny,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
35,oh,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
36,ok,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
37,or,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
38,pa,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
39,pr,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
40,ri,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
41,sc,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
42,sd,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
43,tn,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
44,tx,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
45,ut,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
46,va,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
47,vt,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
48,wa,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
49,wi,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
50,wv,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
51,wy,confirmed_incidence_prop,2020-02-20,2020-07-10,141,0.0,,,state,indicator-combination
0,ak,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
1,al,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
2,ar,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
3,az,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
4,ca,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0075925872356005,,,state,indicator-combination
5,co,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
6,ct,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
7,dc,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
8,de,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
9,fl,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
10,ga,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
11,hi,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
12,ia,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
13,id,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
14,il,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
15,in,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
16,ks,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
17,ky,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
18,la,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
19,ma,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
20,md,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
21,me,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
22,mi,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
23,mn,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
24,mo,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
25,ms,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
26,mt,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
27,nc,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
28,nd,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
29,ne,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
30,nh,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
31,nj,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
32,nm,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
33,nv,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
34,ny,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
35,oh,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
36,ok,confirmed_incidence_prop,2020-02-21,2020-07-10,140,0.0,,,state,indicator-combination
